Sample	Region	State	Typo	Latitude	Longitude	Temp	Cond	Sal	OD	pH	Clorof	NO2	NO3	PO4	SO4	NH4	NID	Ptotal	NPratio	Trophic	Bacteria	HighDNA	LowDNA	%High	%Low
568	Amazonas	MT	River	S1150861 	W05541093 	27.42	20	0.01	6.94	6.91	21.6	0.00	63.93	NA	41.15	66.44	130.37	27.65	NA	Mesotrophic	629067.73	515121.77	113945.97	82	18
571	Amazonas	MT	River	S1210780 	W05350439 	28.85	9	0	7.05	6.5	11.9	0.00	15.20	4.86	38.39	42.14	57.34	46.63	11.80	Mesotrophic	693903.70	541981.48	151922.22	78	22
572	Amazonas	MT	River	S1203294 	W05838760 	27.95	25	0.01	7.22	5.93	1.4	0.00	69.46	NA	37.10	66.44	135.90	36.79	NA	Mesotrophic	366126.66	331178.20	34948.45	90	10
573	Amazonas	MT	River	S1215069 	W05831223 	28.18	18	0.01	7.22	5.78	150.1	0.00	14.52	12.46	11.49	66.44	80.96	28.60	6.50	Mesotrophic	341589.06	287719.88	53869.18	84	16
577	Amazonas	MT	River	S1216001 	W05701282 	28.77	85	0.04	7.1	6.84	4.6	0.56	23.30	NA	42.12	42.14	66.00	33.55	NA	Mesotrophic	1988104.62	1534713.85	453390.77	77	23
580	Amazonas	MT	River	S1227503 	W05727350 	27.58	96	0.04	7.2	6.26	1.3	0.00	89.58	3.82	24.78	66.44	156.01	27.81	40.82	Mesotrophic	2141691.28	1597471.14	544220.13	75	25
583	Amazonas	MT	River	S1236059 	W05547142 	29.66	102	0.05	6.82	7.24	9.3	0.00	133.85	NA	38.88	30.00	163.85	31.95	NA	Mesotrophic	484228.02	371551.11	112676.91	77	23
587	Amazonas	MT	River	S1218868 	W05318393 	29.63	15	0.01	6.87	6.61	50.7	0.00	103.21	NA	43.25	9.11	112.32	31.31	NA	Mesotrophic	726116.69	597747.30	128369.40	82	18
594	Amazonas	MT	River	S1241442 	W05650778 	28.13	80	0.04	7.12	7.33	194.6	0.00	97.54	7.97	44.23	54.29	151.83	30.68	19.05	Mesotrophic	314583.33	267916.67	46666.67	85	15
601	Amazonas	MT	River	S1305302 	W05241772 	28.27	13	0	7.13	6.67	152.5	0.07	94.30	3.58	46.82	5.71	100.08	27.33	27.96	Mesotrophic	841912.09	764923.08	76989.01	91	9
603	Amazonas	MT	River	S1304724 	W05253110 	29.24	24	0.01	6.63	6.74	46.5	0.07	86.47	3.13	38.72	17.85	104.40	51.97	33.35	Mesotrophic	958189.59	852750.93	105438.66	89	11
606	Amazonas	MT	River	S1309925 	W05539445 	29.18	106	0.05	6.86	7.31	11.2	0.00	132.10	NA	47.79	66.44	198.53	48.38	NA	Mesotrophic	1477843.48	1015866.22	461977.26	69	31
609	Amazonas	MT	River	S1308240 	W05921435 	25.63	21	0.01	7.48	6.85	0.3	0.00	61.23	7.97	16.84	102.87	164.10	29.72	20.59	Mesotrophic	1089061.28	949656.57	139404.71	87	13
